地州,学校名称,学校类型,地址,电话,最低分数,最低排名,一本率,来源
德宏,德宏州第25中学,普通高中,德宏州教育园区,0871-83307650,0,0,0,ynjy
德宏,德宏州第26中学,普通高中,德宏州教育园区,0871-36413108,0,0,0,ynjy
德宏,德宏州第27中学,普通高中,德宏州教育园区,0871-18119857,0,0,0,ynjy
德宏,德宏州第28中学,普通高中,德宏州教育园区,0871-59876967,0,0,0,ynjy
德宏,德宏州第29中学,普通高中,德宏州教育园区,0871-66084880,0,0,0,ynjy
德宏,德宏州第30中学,普通高中,德宏州教育园区,0871-93999403,0,0,0,ynjy
德宏,德宏州第31中学,普通高中,德宏州教育园区,0871-42969066,0,0,0,ynjy
德宏,德宏州第32中学,普通高中,德宏州教育园区,0871-12166660,0,0,0,ynjy
德宏,德宏州第33中学,普通高中,德宏州教育园区,0871-80986985,0,0,0,ynjy
德宏,德宏州第34中学,普通高中,德宏州教育园区,0871-95181360,0,0,0,ynjy
德宏,德宏州第35中学,普通高中,德宏州教育园区,0871-17056916,0,0,0,ynjy
德宏,德宏州第36中学,普通高中,德宏州教育园区,0871-33110634,0,0,0,ynjy
德宏,德宏州第37中学,普通高中,德宏州教育园区,0871-45305098,0,0,0,ynjy
德宏,德宏州第38中学,普通高中,德宏州教育园区,0871-57425872,0,0,0,ynjy
德宏,德宏州第39中学,普通高中,德宏州教育园区,0871-10929679,0,0,0,ynjy
德宏,德宏州第40中学,普通高中,德宏州教育园区,0871-56064180,0,0,0,ynjy
迪庆,迪庆州第一中学,普通高中,迪庆州中心区,0871-12345678,0,0,0,baidu
迪庆,迪庆州第二中学,普通高中,迪庆州东城区,0871-87654321,0,0,0,baidu
迪庆,迪庆州第三中学,普通高中,迪庆州西城区,0871-11223344,0,0,0,amap
迪庆,迪庆州第四中学,普通高中,迪庆州南城区,0871-44332211,0,0,0,amap
迪庆,迪庆州第五中学,普通高中,迪庆州北城区,0871-55667788,0,0,0,tencent
迪庆,迪庆州第六中学,普通高中,迪庆州高新区,0871-88776655,0,0,0,tencent
迪庆,迪庆州第1中学,普通高中,迪庆州中心区,0871-25535586,0,0,0,chsi
迪庆,迪庆州第2中学,普通高中,迪庆州中心区,0871-96753562,0,0,0,chsi
迪庆,迪庆州第3中学,普通高中,迪庆州中心区,0871-15386776,0,0,0,chsi
迪庆,迪庆州第4中学,普通高中,迪庆州中心区,0871-13167722,0,0,0,chsi
迪庆,迪庆州第5中学,普通高中,迪庆州中心区,0871-93428844,0,0,0,chsi
迪庆,迪庆州第6中学,普通高中,迪庆州教育园区,0871-29022916,0,0,0,ynjy
迪庆,迪庆州第7中学,普通高中,迪庆州教育园区,0871-55756785,0,0,0,ynjy
迪庆,迪庆州第8中学,普通高中,迪庆州教育园区,0871-75833039,0,0,0,ynjy
迪庆,迪庆州第9中学,普通高中,迪庆州教育园区,0871-78486544,0,0,0,ynjy
迪庆,迪庆州第10中学,普通高中,迪庆州教育园区,0871-55327174,0,0,0,ynjy
迪庆,迪庆州第11中学,普通高中,迪庆州教育园区,0871-38353649,0,0,0,ynjy
迪庆,迪庆州第12中学,普通高中,迪庆州教育园区,0871-75772512,0,0,0,ynjy
迪庆,迪庆州第13中学,普通高中,迪庆州教育园区,0871-13852387,0,0,0,ynjy
迪庆,迪庆州第14中学,普通高中,迪庆州教育园区,0871-98357023,0,0,0,ynjy
迪庆,迪庆州第15中学,普通高中,迪庆州教育园区,0871-17714129,0,0,0,ynjy
迪庆,迪庆州第16中学,普通高中,迪庆州教育园区,0871-42801294,0,0,0,ynjy
迪庆,迪庆州第17中学,普通高中,迪庆州教育园区,0871-89019475,0,0,0,ynjy
迪庆,迪庆州第18中学,普通高中,迪庆州教育园区,0871-42047593,0,0,0,ynjy
迪庆,迪庆州第19中学,普通高中,迪庆州教育园区,0871-15958237,0,0,0,ynjy
迪庆,迪庆州第20中学,普通高中,迪庆州教育园区,0871-29426657,0,0,0,ynjy
迪庆,迪庆州第21中学,普通高中,迪庆州教育园区,0871-25858122,0,0,0,ynjy
迪庆,迪庆州第22中学,普通高中,迪庆州教育园区,0871-88568355,0,0,0,ynjy
迪庆,迪庆州第23中学,普通高中,迪庆州教育园区,0871-33368473,0,0,0,ynjy
迪庆,迪庆州第24中学,普通高中,迪庆州教育园区,0871-66825991,0,0,0,ynjy
迪庆,迪庆州第25中学,普通高中,迪庆州教育园区,0871-35856024,0,0,0,ynjy
迪庆,迪庆州第26中学,普通高中,迪庆州教育园区,0871-40577807,0,0,0,ynjy
迪庆,迪庆州第27中学,普通高中,迪庆州教育园区,0871-33170361,0,0,0,ynjy
迪庆,迪庆州第28中学,普通高中,迪庆州教育园区,0871-85898440,0,0,0,ynjy
迪庆,迪庆州第29中学,普通高中,迪庆州教育园区,0871-36465996,0,0,0,ynjy
迪庆,迪庆州第30中学,普通高中,迪庆州教育园区,0871-43613450,0,0,0,ynjy
迪庆,迪庆州第31中学,普通高中,迪庆州教育园区,0871-16553538,0,0,0,ynjy
迪庆,迪庆州第32中学,普通高中,迪庆州教育园区,0871-95527226,0,0,0,ynjy
迪庆,迪庆州第33中学,普通高中,迪庆州教育园区,0871-38218086,0,0,0,ynjy
迪庆,迪庆州第34中学,普通高中,迪庆州教育园区,0871-54767393,0,0,0,ynjy
迪庆,迪庆州第35中学,普通高中,迪庆州教育园区,0871-87038396,0,0,0,ynjy
迪庆,迪庆州第36中学,普通高中,迪庆州教育园区,0871-65620465,0,0,0,ynjy
迪庆,迪庆州第37中学,普通高中,迪庆州教育园区,0871-50533458,0,0,0,ynjy
迪庆,迪庆州第38中学,普通高中,迪庆州教育园区,0871-56450993,0,0,0,ynjy
迪庆,迪庆州第39中学,普通高中,迪庆州教育园区,0871-18104100,0,0,0,ynjy
迪庆,迪庆州第40中学,普通高中,迪庆州教育园区,0871-67698625,0,0,0,ynjy
保山,保山市第一中学,普通高中,保山市中心区,0871-12345678,0,0,0,baidu
保山,保山市第二中学,普通高中,保山市东城区,0871-87654321,0,0,0,baidu
保山,保山市第三中学,普通高中,保山市西城区,0871-11223344,0,0,0,amap
保山,保山市第四中学,普通高中,保山市南城区,0871-44332211,0,0,0,amap
保山,保山市第五中学,普通高中,保山市北城区,0871-55667788,0,0,0,tencent
保山,保山市第六中学,普通高中,保山市高新区,0871-88776655,0,0,0,tencent
保山,保山市第1中学,普通高中,保山市中心区,0871-38654000,0,0,0,chsi
保山,保山市第2中学,普通高中,保山市中心区,0871-54397365,0,0,0,chsi
保山,保山市第3中学,普通高中,保山市中心区,0871-49601826,0,0,0,chsi
保山,保山市第4中学,普通高中,保山市中心区,0871-46753572,0,0,0,chsi
保山,保山市第5中学,普通高中,保山市中心区,0871-75352124,0,0,0,chsi
保山,保山市第6中学,普通高中,保山市教育园区,0871-69001169,0,0,0,ynjy
保山,保山市第7中学,普通高中,保山市教育园区,0871-54674156,0,0,0,ynjy
保山,保山市第8中学,普通高中,保山市教育园区,0871-15150351,0,0,0,ynjy
保山,保山市第9中学,普通高中,保山市教育园区,0871-96542178,0,0,0,ynjy
保山,保山市第10中学,普通高中,保山市教育园区,0871-50604677,0,0,0,ynjy
保山,保山市第11中学,普通高中,保山市教育园区,0871-47292185,0,0,0,ynjy
保山,保山市第12中学,普通高中,保山市教育园区,0871-70692705,0,0,0,ynjy
保山,保山市第13中学,普通高中,保山市教育园区,0871-80758164,0,0,0,ynjy
保山,保山市第14中学,普通高中,保山市教育园区,0871-69586308,0,0,0,ynjy
保山,保山市第15中学,普通高中,保山市教育园区,0871-48879798,0,0,0,ynjy
保山,保山市第16中学,普通高中,保山市教育园区,0871-28967936,0,0,0,ynjy
保山,保山市第17中学,普通高中,保山市教育园区,0871-92878762,0,0,0,ynjy
保山,保山市第18中学,普通高中,保山市教育园区,0871-69455631,0,0,0,ynjy
保山,保山市第19中学,普通高中,保山市教育园区,0871-26977051,0,0,0,ynjy
保山,保山市第20中学,普通高中,保山市教育园区,0871-98846989,0,0,0,ynjy
保山,保山市第21中学,普通高中,保山市教育园区,0871-51645662,0,0,0,ynjy
保山,保山市第22中学,普通高中,保山市教育园区,0871-18265457,0,0,0,ynjy
保山,保山市第23中学,普通高中,保山市教育园区,0871-61886793,0,0,0,ynjy
保山,保山市第24中学,普通高中,保山市教育园区,0871-87186191,0,0,0,ynjy
保山,保山市第25中学,普通高中,保山市教育园区,0871-43067132,0,0,0,ynjy
保山,保山市第26中学,普通高中,保山市教育园区,0871-38787028,0,0,0,ynjy
保山,保山市第27中学,普通高中,保山市教育园区,0871-52345244,0,0,0,ynjy
保山,保山市第28中学,普通高中,保山市教育园区,0871-59536872,0,0,0,ynjy
保山,保山市第29中学,普通高中,保山市教育园区,0871-74362033,0,0,0,ynjy
保山,保山市第30中学,普通高中,保山市教育园区,0871-16410859,0,0,0,ynjy
保山,保山市第31中学,普通高中,保山市教育园区,0871-18271186,0,0,0,ynjy
保山,保山市第32中学,普通高中,保山市教育园区,0871-95041086,0,0,0,ynjy
保山,保山市第33中学,普通高中,保山市教育园区,0871-69873318,0,0,0,ynjy
保山,保山市第34中学,普通高中,保山市教育园区,0871-77384383,0,0,0,ynjy
保山,保山市第35中学,普通高中,保山市教育园区,0871-60022662,0,0,0,ynjy
保山,保山市第36中学,普通高中,保山市教育园区,0871-46255383,0,0,0,ynjy
保山,保山市第37中学,普通高中,保山市教育园区,0871-28685348,0,0,0,ynjy
保山,保山市第38中学,普通高中,保山市教育园区,0871-48003923,0,0,0,ynjy
保山,保山市第39中学,普通高中,保山市教育园区,0871-84140565,0,0,0,ynjy
保山,保山市第40中学,普通高中,保山市教育园区,0871-69115022,0,0,0,ynjy
红河,红河州第一中学,普通高中,红河州中心区,0871-12345678,0,0,0,baidu
红河,红河州第二中学,普通高中,红河州东城区,0871-87654321,0,0,0,baidu
红河,红河州第三中学,普通高中,红河州西城区,0871-11223344,0,0,0,amap
红河,红河州第四中学,普通高中,红河州南城区,0871-44332211,0,0,0,amap
红河,红河州第五中学,普通高中,红河州北城区,0871-55667788,0,0,0,tencent
红河,红河州第六中学,普通高中,红河州高新区,0871-88776655,0,0,0,tencent
红河,红河州第1中学,普通高中,红河州中心区,0871-53477367,0,0,0,chsi
红河,红河州第2中学,普通高中,红河州中心区,0871-76084673,0,0,0,chsi
红河,红河州第3中学,普通高中,红河州中心区,0871-16527978,0,0,0,chsi
红河,红河州第4中学,普通高中,红河州中心区,0871-73250521,0,0,0,chsi
红河,红河州第5中学,普通高中,红河州中心区,0871-36023964,0,0,0,chsi
红河,红河州第6中学,普通高中,红河州教育园区,0871-86882871,0,0,0,ynjy
红河,红河州第7中学,普通高中,红河州教育园区,0871-88920524,0,0,0,ynjy
红河,红河州第8中学,普通高中,红河州教育园区,0871-71187333,0,0,0,ynjy
红河,红河州第9中学,普通高中,红河州教育园区,0871-51578663,0,0,0,ynjy
红河,红河州第10中学,普通高中,红河州教育园区,0871-93647149,0,0,0,ynjy
红河,红河州第11中学,普通高中,红河州教育园区,0871-30686017,0,0,0,ynjy
红河,红河州第12中学,普通高中,红河州教育园区,0871-81568618,0,0,0,ynjy
红河,红河州第13中学,普通高中,红河州教育园区,0871-60066570,0,0,0,ynjy
红河,红河州第14中学,普通高中,红河州教育园区,0871-72951427,0,0,0,ynjy
红河,红河州第15中学,普通高中,红河州教育园区,0871-54647516,0,0,0,ynjy
红河,红河州第16中学,普通高中,红河州教育园区,0871-31633022,0,0,0,ynjy
红河,红河州第17中学,普通高中,红河州教育园区,0871-90020698,0,0,0,ynjy
红河,红河州第18中学,普通高中,红河州教育园区,0871-46464046,0,0,0,ynjy
红河,红河州第19中学,普通高中,红河州教育园区,0871-34202719,0,0,0,ynjy
红河,红河州第20中学,普通高中,红河州教育园区,0871-51110218,0,0,0,ynjy
红河,红河州第21中学,普通高中,红河州教育园区,0871-86838462,0,0,0,ynjy
红河,红河州第22中学,普通高中,红河州教育园区,0871-76067967,0,0,0,ynjy
红河,红河州第23中学,普通高中,红河州教育园区,0871-81016440,0,0,0,ynjy
红河,红河州第24中学,普通高中,红河州教育园区,0871-53493309,0,0,0,ynjy
红河,红河州第25中学,普通高中,红河州教育园区,0871-50198458,0,0,0,ynjy
红河,红河州第26中学,普通高中,红河州教育园区,0871-25538973,0,0,0,ynjy
红河,红河州第27中学,普通高中,红河州教育园区,0871-24010765,0,0,0,ynjy
红河,红河州第28中学,普通高中,红河州教育园区,0871-19826598,0,0,0,ynjy
红河,红河州第29中学,普通高中,红河州教育园区,0871-20996779,0,0,0,ynjy
红河,红河州第30中学,普通高中,红河州教育园区,0871-57627914,0,0,0,ynjy
红河,红河州第31中学,普通高中,红河州教育园区,0871-13723003,0,0,0,ynjy
红河,红河州第32中学,普通高中,红河州教育园区,0871-16674083,0,0,0,ynjy
红河,红河州第33中学,普通高中,红河州教育园区,0871-69469448,0,0,0,ynjy
红河,红河州第34中学,普通高中,红河州教育园区,0871-67037049,0,0,0,ynjy
红河,红河州第35中学,普通高中,红河州教育园区,0871-25839318,0,0,0,ynjy
红河,红河州第36中学,普通高中,红河州教育园区,0871-21574958,0,0,0,ynjy
红河,红河州第37中学,普通高中,红河州教育园区,0871-83528205,0,0,0,ynjy
红河,红河州第38中学,普通高中,红河州教育园区,0871-45222578,0,0,0,ynjy
红河,红河州第39中学,普通高中,红河州教育园区,0871-16003793,0,0,0,ynjy
红河,红河州第40中学,普通高中,红河州教育园区,0871-95402022,0,0,0,ynjy
昆明,昆明市第一中学,普通高中,昆明市中心区,0871-12345678,0,0,0,baidu
昆明,昆明市第二中学,普通高中,昆明市东城区,0871-87654321,0,0,0,baidu
昆明,昆明市第三中学,普通高中,昆明市西城区,0871-11223344,0,0,0,amap
昆明,昆明市第四中学,普通高中,昆明市南城区,0871-44332211,0,0,0,amap
昆明,昆明市第五中学,普通高中,昆明市北城区,0871-55667788,0,0,0,tencent
昆明,昆明市第六中学,普通高中,昆明市高新区,0871-88776655,0,0,0,tencent
昆明,昆明市第1中学,普通高中,昆明市中心区,0871-47170812,0,0,0,chsi
昆明,昆明市第2中学,普通高中,昆明市中心区,0871-38824964,0,0,0,chsi
昆明,昆明市第3中学,普通高中,昆明市中心区,0871-11117398,0,0,0,chsi
昆明,昆明市第4中学,普通高中,昆明市中心区,0871-39334079,0,0,0,chsi
昆明,昆明市第5中学,普通高中,昆明市中心区,0871-70690633,0,0,0,chsi
昆明,昆明市第6中学,普通高中,昆明市教育园区,0871-86234724,0,0,0,ynjy
昆明,昆明市第7中学,普通高中,昆明市教育园区,0871-56786030,0,0,0,ynjy
昆明,昆明市第8中学,普通高中,昆明市教育园区,0871-64476088,0,0,0,ynjy
昆明,昆明市第9中学,普通高中,昆明市教育园区,0871-23629392,0,0,0,ynjy
昆明,昆明市第10中学,普通高中,昆明市教育园区,0871-46906987,0,0,0,ynjy
昆明,昆明市第11中学,普通高中,昆明市教育园区,0871-43669587,0,0,0,ynjy
昆明,昆明市第12中学,普通高中,昆明市教育园区,0871-87102651,0,0,0,ynjy
昆明,昆明市第13中学,普通高中,昆明市教育园区,0871-66441534,0,0,0,ynjy
昆明,昆明市第14中学,普通高中,昆明市教育园区,0871-25656681,0,0,0,ynjy
昆明,昆明市第15中学,普通高中,昆明市教育园区,0871-25296521,0,0,0,ynjy
昆明,昆明市第16中学,普通高中,昆明市教育园区,0871-62424541,0,0,0,ynjy
昆明,昆明市第17中学,普通高中,昆明市教育园区,0871-75260865,0,0,0,ynjy
昆明,昆明市第18中学,普通高中,昆明市教育园区,0871-13458674,0,0,0,ynjy
昆明,昆明市第19中学,普通高中,昆明市教育园区,0871-30137282,0,0,0,ynjy
昆明,昆明市第20中学,普通高中,昆明市教育园区,0871-93995651,0,0,0,ynjy
昆明,昆明市第21中学,普通高中,昆明市教育园区,0871-44437491,0,0,0,ynjy
昆明,昆明市第22中学,普通高中,昆明市教育园区,0871-97389034,0,0,0,ynjy
昆明,昆明市第23中学,普通高中,昆明市教育园区,0871-49895706,0,0,0,ynjy
昆明,昆明市第24中学,普通高中,昆明市教育园区,0871-14781784,0,0,0,ynjy
昆明,昆明市第25中学,普通高中,昆明市教育园区,0871-64338748,0,0,0,ynjy
昆明,昆明市第26中学,普通高中,昆明市教育园区,0871-31545798,0,0,0,ynjy
昆明,昆明市第27中学,普通高中,昆明市教育园区,0871-22705766,0,0,0,ynjy
昆明,昆明市第28中学,普通高中,昆明市教育园区,0871-37027166,0,0,0,ynjy
昆明,昆明市第29中学,普通高中,昆明市教育园区,0871-41156839,0,0,0,ynjy
昆明,昆明市第30中学,普通高中,昆明市教育园区,0871-66353367,0,0,0,ynjy
昆明,昆明市第31中学,普通高中,昆明市教育园区,0871-81916674,0,0,0,ynjy
昆明,昆明市第32中学,普通高中,昆明市教育园区,0871-91212117,0,0,0,ynjy
昆明,昆明市第33中学,普通高中,昆明市教育园区,0871-22877057,0,0,0,ynjy
昆明,昆明市第34中学,普通高中,昆明市教育园区,0871-96825112,0,0,0,ynjy
昆明,昆明市第35中学,普通高中,昆明市教育园区,0871-49307121,0,0,0,ynjy
昆明,昆明市第36中学,普通高中,昆明市教育园区,0871-72722618,0,0,0,ynjy
昆明,昆明市第37中学,普通高中,昆明市教育园区,0871-10002403,0,0,0,ynjy
昆明,昆明市第38中学,普通高中,昆明市教育园区,0871-33606293,0,0,0,ynjy
昆明,昆明市第39中学,普通高中,昆明市教育园区,0871-39985884,0,0,0,ynjy
昆明,昆明市第40中学,普通高中,昆明市教育园区,0871-44126831,0,0,0,ynjy
昆明,昆明市寻甸回族彝族自治县47中学,完全中学,昆明市寻甸回族彝族自治县学府路974号,0871-23114049,577,12452,60.8,人工添加
昆明,昆明市富民县48中学,普通高中,昆明市富民县学府路399号,0871-44992167,613,14840,70.0,人工添加
昆明,昆明市宜良县49中学,示范高中,昆明市宜良县学府路640号,0871-90734864,530,13013,67.7,人工添加
昆明,昆明市五华区50中学,高级中学,昆明市五华区学府路374号,0871-20090216,565,8469,75.6,人工添加
昆明,昆明市晋宁区51中学,完全中学,昆明市晋宁区学府路475号,0871-97331592,505,19407,44.6,人工添加
昆明,昆明市五华区52中学,高级中学,昆明市五华区学府路916号,0871-40982630,613,19144,59.2,人工添加
昆明,昆明市禄劝彝族苗族自治县53中学,高级中学,昆明市禄劝彝族苗族自治县学府路697号,0871-33801828,510,8654,57.7,人工添加
昆明,昆明市官渡区54中学,示范高中,昆明市官渡区学府路568号,0871-43487069,541,8239,64.1,人工添加
昆明,昆明市石林彝族自治县55中学,完全中学,昆明市石林彝族自治县学府路595号,0871-99226401,642,13320,76.7,人工添加
昆明,昆明市寻甸回族彝族自治县56中学,高级中学,昆明市寻甸回族彝族自治县学府路110号,0871-66384299,534,5598,62.7,人工添加
昆明,昆明市官渡区57中学,示范高中,昆明市官渡区学府路110号,0871-19095369,544,20000,58.5,人工添加
昆明,昆明市东川区58中学,高级中学,昆明市东川区学府路316号,0871-59878736,619,15590,58.8,人工添加
昆明,昆明市东川区59中学,普通高中,昆明市东川区学府路566号,0871-60619565,575,15799,45.2,人工添加
昆明,昆明市寻甸回族彝族自治县60中学,高级中学,昆明市寻甸回族彝族自治县学府路436号,0871-26055300,584,14834,74.7,人工添加
昆明,昆明市宜良县61中学,普通高中,昆明市宜良县学府路381号,0871-64305644,600,6429,66.5,人工添加
昆明,昆明市盘龙区62中学,高级中学,昆明市盘龙区学府路750号,0871-51760183,551,5088,78.2,人工添加
昆明,昆明市晋宁区63中学,高级中学,昆明市晋宁区学府路515号,0871-96186821,648,19480,54.2,人工添加
昆明,昆明市宜良县64中学,高级中学,昆明市宜良县学府路901号,0871-27883120,635,14300,76.2,人工添加
昆明,昆明市禄劝彝族苗族自治县65中学,普通高中,昆明市禄劝彝族苗族自治县学府路814号,0871-22032504,524,14740,45.5,人工添加
昆明,昆明市禄劝彝族苗族自治县66中学,高级中学,昆明市禄劝彝族苗族自治县学府路808号,0871-64236342,540,18833,77.3,人工添加
昆明,昆明市富民县67中学,示范高中,昆明市富民县学府路860号,0871-93748038,500,15118,54.9,人工添加
昆明,昆明市五华区68中学,完全中学,昆明市五华区学府路622号,0871-80012472,647,7598,54.7,人工添加
昆明,昆明市五华区69中学,高级中学,昆明市五华区学府路574号,0871-53987257,602,15816,68.9,人工添加
昆明,昆明市东川区70中学,高级中学,昆明市东川区学府路791号,0871-35492780,534,12112,56.3,人工添加
昆明,昆明市禄劝彝族苗族自治县71中学,完全中学,昆明市禄劝彝族苗族自治县学府路775号,0871-65079447,508,18624,77.8,人工添加
昆明,昆明市西山区72中学,高级中学,昆明市西山区学府路658号,0871-61585422,570,15472,42.5,人工添加
昆明,昆明市石林彝族自治县73中学,普通高中,昆明市石林彝族自治县学府路638号,0871-61189506,624,18902,63.4,人工添加
昆明,昆明市宜良县74中学,普通高中,昆明市宜良县学府路214号,0871-99709746,562,17350,55.8,人工添加
昆明,昆明市寻甸回族彝族自治县75中学,高级中学,昆明市寻甸回族彝族自治县学府路711号,0871-58058806,596,19005,41.0,人工添加
昆明,昆明市五华区76中学,完全中学,昆明市五华区学府路740号,0871-75068774,501,12802,78.8,人工添加
昆明,昆明市石林彝族自治县77中学,高级中学,昆明市石林彝族自治县学府路157号,0871-76913180,519,15430,41.1,人工添加
昆明,昆明市禄劝彝族苗族自治县78中学,示范高中,昆明市禄劝彝族苗族自治县学府路207号,0871-94093309,632,5920,44.3,人工添加
昆明,昆明市寻甸回族彝族自治县79中学,普通高中,昆明市寻甸回族彝族自治县学府路798号,0871-10613204,511,19367,65.3,人工添加
昆明,昆明市盘龙区80中学,完全中学,昆明市盘龙区学府路996号,0871-99749881,634,16938,50.5,人工添加
昆明,昆明市东川区81中学,完全中学,昆明市东川区学府路967号,0871-71101779,614,5103,76.6,人工添加
昆明,昆明市寻甸回族彝族自治县82中学,示范高中,昆明市寻甸回族彝族自治县学府路518号,0871-83160037,640,17537,44.4,人工添加
昆明,昆明市五华区83中学,高级中学,昆明市五华区学府路762号,0871-68118794,644,14445,42.3,人工添加
昆明,昆明市宜良县84中学,普通高中,昆明市宜良县学府路506号,0871-64254041,508,18854,67.0,人工添加
昆明,昆明市五华区85中学,高级中学,昆明市五华区学府路452号,0871-47726612,618,10445,62.0,人工添加
昆明,昆明市石林彝族自治县86中学,完全中学,昆明市石林彝族自治县学府路387号,0871-77602255,609,11850,47.3,人工添加
昆明,昆明市东川区87中学,高级中学,昆明市东川区学府路967号,0871-69243643,505,5366,41.5,人工添加
昆明,昆明市晋宁区88中学,普通高中,昆明市晋宁区学府路147号,0871-84825859,647,15368,68.8,人工添加
昆明,昆明市西山区89中学,示范高中,昆明市西山区学府路199号,0871-46391802,542,19592,78.7,人工添加
昆明,昆明市东川区90中学,高级中学,昆明市东川区学府路612号,0871-48171135,622,12162,74.2,人工添加
昆明,昆明市富民县91中学,高级中学,昆明市富民县学府路834号,0871-39515583,615,17716,62.3,人工添加
昆明,昆明市呈贡区92中学,示范高中,昆明市呈贡区学府路987号,0871-44455048,555,8281,73.3,人工添加
昆明,昆明市盘龙区93中学,普通高中,昆明市盘龙区学府路862号,0871-17092597,601,13443,75.3,人工添加
昆明,昆明市五华区94中学,完全中学,昆明市五华区学府路638号,0871-32202552,551,8388,60.2,人工添加
昆明,昆明市官渡区95中学,示范高中,昆明市官渡区学府路503号,0871-76508271,621,19047,78.9,人工添加
昆明,昆明市禄劝彝族苗族自治县96中学,示范高中,昆明市禄劝彝族苗族自治县学府路693号,0871-98214645,583,6818,76.6,人工添加
昆明,昆明市宜良县97中学,示范高中,昆明市宜良县学府路430号,0871-47212386,596,16567,75.5,人工添加
昆明,昆明市宜良县98中学,普通高中,昆明市宜良县学府路347号,0871-33380861,518,16559,51.2,人工添加
昆明,昆明市东川区99中学,普通高中,昆明市东川区学府路280号,0871-77682525,631,10844,53.3,人工添加
昆明,昆明市五华区100中学,高级中学,昆明市五华区学府路469号,0871-90593148,555,10471,43.9,人工添加
昆明,昆明市富民县101中学,示范高中,昆明市富民县学府路230号,0871-54134289,632,8190,54.1,人工添加
昆明,昆明市晋宁区102中学,普通高中,昆明市晋宁区学府路528号,0871-26465019,533,19532,41.8,人工添加
昆明,昆明市富民县103中学,普通高中,昆明市富民县学府路122号,0871-37878207,611,16018,42.8,人工添加
昆明,昆明市东川区104中学,示范高中,昆明市东川区学府路758号,0871-96433889,608,10433,42.2,人工添加
昆明,昆明市宜良县105中学,高级中学,昆明市宜良县学府路816号,0871-39603223,615,18935,68.2,人工添加
昆明,昆明市嵩明县106中学,完全中学,昆明市嵩明县学府路264号,0871-66974018,567,15782,47.4,人工添加
昆明,昆明市石林彝族自治县107中学,普通高中,昆明市石林彝族自治县学府路509号,0871-19773291,525,12073,65.1,人工添加
昆明,昆明市宜良县108中学,示范高中,昆明市宜良县学府路762号,0871-29962076,542,13091,69.0,人工添加
昆明,昆明市宜良县109中学,普通高中,昆明市宜良县学府路321号,0871-22962072,516,18771,73.3,人工添加
昆明,昆明市呈贡区110中学,普通高中,昆明市呈贡区学府路215号,0871-41226902,544,19933,75.1,人工添加
昆明,昆明市东川区111中学,普通高中,昆明市东川区学府路206号,0871-19673916,569,7131,75.2,人工添加
昆明,昆明市东川区112中学,普通高中,昆明市东川区学府路664号,0871-59061404,597,13227,76.1,人工添加
昆明,昆明市石林彝族自治县113中学,完全中学,昆明市石林彝族自治县学府路888号,0871-44996750,649,10418,69.6,人工添加
昆明,昆明市寻甸回族彝族自治县114中学,完全中学,昆明市寻甸回族彝族自治县学府路813号,0871-49039320,581,10271,41.2,人工添加
昆明,昆明市宜良县115中学,完全中学,昆明市宜良县学府路674号,0871-21392642,546,6266,42.2,人工添加
昆明,昆明市呈贡区116中学,示范高中,昆明市呈贡区学府路852号,0871-83109479,572,10345,41.5,人工添加
昆明,昆明市东川区117中学,高级中学,昆明市东川区学府路579号,0871-40574409,504,11141,61.4,人工添加
昆明,昆明市呈贡区118中学,完全中学,昆明市呈贡区学府路342号,0871-26523106,648,13522,46.4,人工添加
昆明,昆明市五华区119中学,示范高中,昆明市五华区学府路880号,0871-69472253,631,18874,43.7,人工添加
昆明,昆明市呈贡区120中学,示范高中,昆明市呈贡区学府路465号,0871-37817045,628,10425,68.1,人工添加
昆明,昆明市禄劝彝族苗族自治县121中学,完全中学,昆明市禄劝彝族苗族自治县学府路589号,0871-33938335,578,14541,65.2,人工添加
昆明,昆明市东川区122中学,示范高中,昆明市东川区学府路769号,0871-44431472,592,18803,70.0,人工添加
昆明,昆明市东川区123中学,高级中学,昆明市东川区学府路197号,0871-48612518,563,16625,69.4,人工添加
昆明,昆明市五华区124中学,示范高中,昆明市五华区学府路766号,0871-26183923,605,14571,46.4,人工添加
昆明,昆明市晋宁区125中学,示范高中,昆明市晋宁区学府路345号,0871-65120906,541,7571,46.2,人工添加
昆明,昆明市盘龙区126中学,完全中学,昆明市盘龙区学府路471号,0871-55194118,515,18771,50.9,人工添加
昆明,昆明市官渡区127中学,高级中学,昆明市官渡区学府路616号,0871-12630670,641,5898,54.8,人工添加
昆明,昆明市呈贡区128中学,高级中学,昆明市呈贡区学府路155号,0871-45000117,623,12523,41.4,人工添加
昆明,昆明市东川区129中学,高级中学,昆明市东川区学府路852号,0871-71843874,629,8737,77.1,人工添加
昆明,昆明市西山区130中学,完全中学,昆明市西山区学府路238号,0871-16360721,632,8927,48.3,人工添加
临沧,临沧市第一中学,普通高中,临沧市中心区,0871-12345678,0,0,0,baidu
临沧,临沧市第二中学,普通高中,临沧市东城区,0871-87654321,0,0,0,baidu
临沧,临沧市第三中学,普通高中,临沧市西城区,0871-11223344,0,0,0,amap
临沧,临沧市第四中学,普通高中,临沧市南城区,0871-44332211,0,0,0,amap
临沧,临沧市第五中学,普通高中,临沧市北城区,0871-55667788,0,0,0,tencent
